1,0.98296,0.93301,0.85355,0.75,0.62941,0.5,0.37059,0.30866,0.25,0.19562,0.14645,0.10332,0.06699,0.03806,0.01704,0.00428,0,0.00428,0.01704,0.03806,0.06699,0.10332,0.14645,0.19562,0.25,0.30866,0.37059,0.5,0.62941,0.75,0.85355,0.93301,0.98296,1
0,0.00218,0.0077,0.01522,0.02384,0.03247,0.03978,0.04431,0.04509,0.04466,0.04295,0.03994,0.03564,0.03023,0.02395,0.01646,0.00767,0,-0.00767,-0.01646,-0.02395,-0.03023,-0.03564,-0.03994,-0.04295,-0.04466,-0.04509,-0.04431,-0.03978,-0.03247,-0.02384,-0.01522,-0.0077,-0.00218,0
0.0023,0.1422,0.1964,0.2160,0.3227,0.3686,0.4397,0.5603,0.6545,0.6997,0.7638,0.7840,0.8036,0.8405,0.9045,0.9310,0.9907,0.0023,0.0093,0.0369,0.0573,0.0690,0.0955,0.1422,0.1595,0.2362,0.6773,0.7430,0.8224,0.8578,0.8898,0.9534,0.9631,0.9791,0.9994
0.0084,0.0526,0.0572,0.0582,0.0599,0.059,0.0563,0.0488,0.0409,0.0367,0.0302,0.0280,0.0258,0.0216,0.0139,0.0105,0.0026,-0.0084,-0.0165,-0.0312,-0.0376,-0.0406,-0.0460,-0.0526,-0.0544,-0.0590,-0.0388,-0.0323,-0.0237,-0.0196,-0.0157,-0.0076,-0.0063,-0.0042,-0.0013
0.9893,0.9759,0.8727,0.7953,0.7514,0.7048,0.6559,0.6051,0.5532,0.5007,0.3960,0.3445,0.2948,0.2474,0.1617,0.0914,0.0631,0.0398,0.0017,0.0129,0.0273,0.0467,0.0709,0.0996,0.1692,0.2094,0.2526,0.2984,0.3961,0.4474,0.5513,0.7019,0.7486,0.7925,0.8333
0.004,0.0070,0.0286,0.0427,0.0500,0.0572,0.0641,0.0705,0.0763,0.0812,0.0879,0.0891,0.0887,0.0864,0.0771,0.0620,0.0528,0.0429,0.0109,-0.0196,-0.0277,-0.0347,-0.0405,-0.0452,-0.0508,-0.0520,-0.0521,-0.0513,-0.0479,-0.0454,-0.0389,-0.0274,-0.0237,-0.0200,-0.0165
0.9974,0.9893,0.9759,0.9573,0.9055,0.8728,0.8359,0.7954,0.7049,0.6560,0.5533,0.5007,0.4481,0.3960,0.2472,0.2026,0.1614,0.0628,0.0215,0.0016,0.0469,0.0712,0.1328,0.3465,0.4474,0.4993,0.5512,0.7018,0.7485,0.8704,0.9323,0.9562,0.9752,0.9889,1.0000
0.0022,0.0042,0.0074,0.0117,0.0232,0.0301,0.0374,0.0450,0.0602,0.0675,0.0804,0.0856,0.0898,0.0927,0.0914,0.0874,0.0816,0.0561,0.0346,0.0116,-0.0375,-0.0439,-0.0528,-0.0548,-0.0500,-0.0467,-0.0430,-0.0305,-0.0263,-0.0148,-0.0086,-0.0062,-0.0042,-0.0027,-0.0016
0.9576,0.9062,0.8736,0.8369,0.7965,0.7527,0.7061,0.6571,0.5541,0.3437,0.2932,0.245,0.1999,0.1583,0.1208,0.0878,0.0368,0.0047,0.0147,0.1032,0.1726,0.2124,0.255,0.4471,0.4987,0.6017,0.7006,0.7913,0.8322,0.8696,0.9029,0.9318,0.9559,0.9888,0.9972
0.0128,0.0272,0.0357,0.0446,0.0538,0.0628,0.0715,0.0796,0.093,0.1035,0.1009,0.0958,0.0887,0.0799,0.0698,0.0589,0.0365,-0.0057,-0.0096,-0.0084,-0.0012,0.0031,0.0073,0.0177,0.0187,0.0193,0.0178,0.0145,0.0124,0.0102,0.0079,0.0058,0.0038,0.001,0.0003
